source,target,wt
1508513974191330,1508513974190747,38
1508513974191330,1508513974190749,38
1508513974190747,1508513974191330,37
1508513974190747,1508513974190749,97
1508513974190747,1508513974190750,60
1508513974190749,1508513974191330,37
1508513974190749,1508513974190747,96
1508513974190749,1508513974190750,60
1508513974190750,1508513974190747,59
1508513974190750,1508513974190749,59
